Program,Lokalizacja stacji,F [MHz],Dł.geogr.,Sz.geogr.,Układ wsp.,ERP[kW],H ant.,Dl.dd,Sz.dd,geometry
WEEKEND FM,"Bytów, ul. Przemysłowa 5",105.8,"17E29'38""","54N10'52""",WGS84,0.5011872336272722,47.0,17.493889,54.181111,POINT (17.493889 54.181111)
Program 4 - Polskie Radio 24,Nowe Skórowo,107.5,"17E29'54""","54N29'42""",WGS84,10.000000000000002,59.0,17.498333,54.495,POINT (17.498333 54.495)
Radio ZET,Leżajsk,95.0,"22E24'18""","50N14'54""",WGS84,19.952623149688804,89.0,22.405,50.248333,POINT (22.405 50.248333)
RMF FM,Leżajsk,101.8,"22E24'18""","50N14'54""",WGS84,60.255958607435765,89.0,22.405,50.248333,POINT (22.405 50.248333)
RMF FM,Leżajsk,101.8,"22E24'18""","50N14'54""",WGS84,60.255958607435765,89.0,22.405,50.248333,POINT (22.405 50.248333)
Radio Maryja,Leżajsk Giedlarowa,106.3,"22E24'18""","50N14'54""",WGS84,19.952623149688804,89.0,22.405,50.248333,POINT (22.405 50.248333)
Radio Maryja,"Leżajsk, ul. Mickiewicza 50",106.3,"22E25'17""","50N15'34""",WGS84,0.9549925860214361,61.0,22.421389,50.259444,POINT (22.421389 50.259444)
PR II,37-600 Krowica Lasowa,88.4,"23E10'22""","50N06'04""",WGS84,10.000000000000002,60.0,23.172778,50.101111,POINT (23.172778 50.101111)
PR III,37-600 Krowica Lasowa,96.0,"23E10'22""","50N06'04""",WGS84,10.000000000000002,60.0,23.172778,50.101111,POINT (23.172778 50.101111)
PR I,37-600 Krowica Lasowa,100.0,"23E10'22""","50N06'04""",WGS84,10.000000000000002,60.0,23.172778,50.101111,POINT (23.172778 50.101111)
Radio Maryja,Lubaczów,102.3,"23E10'21""","50N06'03""",WGS84,10.000000000000002,60.0,23.1725,50.100833,POINT (23.1725 50.100833)
